Sequence #,Timestamp,PGN,Name,Manufacturer,Remote Address,Local Address,Priority,Single Frame,Size,Packet
0,486942,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1,487017,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
2,487020,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
3,487042,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
4,487046,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
5,487050,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
6,487142,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
7,487186,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
8,487190,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
9,487242,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
10,487246,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
11,487250,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
12,487342,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
13,487347,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
14,487352,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
15,487442,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
16,487480,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
17,487484,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
18,487542,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
19,487548,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
20,487552,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
21,487642,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
22,487649,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
23,487653,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
24,487742,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
25,487785,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
26,487789,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
27,487842,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
28,487851,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
29,487855,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
30,487942,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
31,487951,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
32,487955,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
33,488042,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
34,488077,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
35,488081,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
36,488142,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
37,488153,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
38,488159,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
39,488242,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
40,488253,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
41,488257,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
42,488342,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
43,488391,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
44,488395,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
45,488442,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
46,488455,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
47,488459,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
48,488542,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
49,488556,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF537AFF7FFF7FFD
50,488559,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
51,488642,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
52,488677,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF537AFF7FFF7FFD
53,488681,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
54,488742,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
55,488757,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF537AFF7FFF7FFD
56,488761,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
57,488842,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
58,488858,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
59,488886,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
60,488979,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
61,488983,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
62,488987,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
63,489042,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
64,489059,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
65,489063,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
66,489142,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
67,489160,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
68,489163,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
69,489242,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
70,489279,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
71,489282,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
72,489342,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
73,489361,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
74,489365,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
75,489442,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
76,489462,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
77,489466,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
78,489542,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
79,489581,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
80,489584,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
81,489642,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
82,489663,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
83,489667,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
84,489742,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
85,489764,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
86,489768,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
87,489842,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
88,489879,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
89,489883,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
90,489942,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
91,489965,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
92,489969,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
93,490041,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
94,490066,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
95,490070,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
96,490142,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
97,490184,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
98,490188,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
99,490241,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
100,490267,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
101,490271,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
102,490341,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
103,490368,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF537AFF7FFF7FFD
104,490372,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
105,490442,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
106,490481,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF537AFF7FFF7FFD
107,490485,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
108,490541,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
109,490570,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
110,490573,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
111,490641,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
112,490670,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
113,490674,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
114,490742,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
115,490781,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
116,490785,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
117,490841,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
118,490886,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
119,490892,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
120,490941,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
121,490972,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
122,490976,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
123,491041,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
124,491077,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4E7AFF7FFF7FFD
125,491081,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
126,491141,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
127,491174,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
128,491179,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
129,491183,129029,GNSS Position Data,Unknown Manufacturer,3,255,3,0,43,0xFFDF40A6E9BB22C04B3666C18FBF0600A6C33CA5F84B01A0293B140000000010FC01AC26AC264A12000000
130,491398,129540,GNSS Sats in View,Unknown Manufacturer,3,255,6,0,135,0xFFFF0B10222493CED007FFFFFF7FF11D68129638280AFFFFFF7FF2157332B93E6C07FFFFFF7FF114D115B92F7805FFFFFF7FF1160B02A076DC05FFFFFF7FF01BB91188BD1405FFFFFF7FF005740573149CFFFFFFFF7FF0125C10DB629CFFFFFFFF7FF0195D01725F9CFFFFFFFF7FF01AD0335AA69CFFFFFFFF7FF01F970BDA8F9CFFFFFFFF7FF0
131,491403,129539,GNSS DOPs,Unknown Manufacturer,3,255,6,1,8,0xFFDAAC26AC260000
132,491407,129026,COG & SOG - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xFFFC9CD49000FFFF
133,491411,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x04D2FB1C46CE9105
134,491415,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
135,491419,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x0ED2FB1C37CE9105
136,491423,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
137,491427,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
138,491431,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
139,491435,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x18D2FB1C29CE9105
140,491439,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
141,491443,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
142,491448,129026,COG & SOG - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xFFFC9CD49000FFFF
143,491451,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
144,491471,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x22D2FB1C1ACE9105
145,491476,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
146,491480,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
147,491541,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
148,491577,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4C7AFF7FFF7FFD
149,491581,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
150,491586,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x2CD2FB1C0CCE9105
151,491679,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
152,491683,129026,COG & SOG - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xFFFC9CD49000FFFF
153,491687,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x36D2FB1CFDCD9105
154,491691,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4A7AFF7FFF7FFD
155,491695,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
156,491741,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
157,491771,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x41D2FB1CEFCD9105
158,491778,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF497AFF7FFF7FFD
159,491782,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
160,491841,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
161,491871,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x4BD2FB1CE0CD9105
162,491879,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4B7AFF7FFF7FFD
163,491883,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
164,491984,129026,COG & SOG - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xFFFC9CD49000FFFF
165,491988,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
166,491992,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x55D2FB1CD2CD9105
167,491996,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4E7AFF7FFF7FFD
168,492000,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
169,492041,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
170,492071,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x5FD2FB1CC3CD9105
171,492080,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
172,492084,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
173,492141,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
174,492177,129029,GNSS Position Data,Unknown Manufacturer,3,255,3,0,43,0xFFDF40B610BC2200061212D98FBF0610ABF06383F84B01C0483B140000000010FC01AC26AC264A12000000
175,492187,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
176,492285,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
177,492320,129540,GNSS Sats in View,Unknown Manufacturer,3,255,6,0,135,0xFFFF0B10222493CE3408FFFFFF7FF11D68129638C409FFFFFF7FF2157332B93E6C07FFFFFF7FF114D115B92F1405FFFFFF7FF1160B02A076DC05FFFFFF7FF01BB91188BD7805FFFFFF7FF005740573149CFFFFFFFF7FF0125C10DB629CFFFFFFFF7FF0195D01725F9CFFFFFFFF7FF01AD0335AA69CFFFFFFFF7FF01F970BDA8F9CFFFFFFFF7FF0
178,492328,129539,GNSS DOPs,Unknown Manufacturer,3,255,6,1,8,0xFFDAAC26AC260000
179,492334,129026,COG & SOG - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xFFFC9CD49000FFFF
180,492340,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x69D2FB1CB4CD9105
181,492344,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
182,492348,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x73D2FB1CA6CD9105
183,492352,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
184,492356,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
185,492360,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
186,492371,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x7ED2FB1C97CD9105
187,492382,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
188,492386,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
189,492421,129026,COG & SOG - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xFFFC9CD49000FFFF
190,492441,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
191,492471,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x88D2FB1C89CD9105
192,492484,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
193,492584,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
194,492587,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
195,492591,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x92D2FB1C7ACD9105
196,492596,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
197,492600,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
198,492606,60928,ISO IOP_N2K_ADDR Claim,Unknown Manufacturer,3,255,6,1,8,0xA411AD1C00BE78C0
199,492641,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
200,492671,129026,COG & SOG - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xFFFC9CD49000FFFF
201,492675,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0x9CD2FB1C6CCD9105
202,492684,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
203,492688,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
204,492741,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
205,492771,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xA6D2FB1C5DCD9105
206,492785,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
207,492892,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
208,492896,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
209,492900,129025,Position - Rapid Update,Unknown Manufacturer,3,255,2,1,8,0xB0D2FB1C4FCD9105
210,492904,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
211,492912,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
212,492921,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFC9CD49000FFFF
213,492941,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
214,492971,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xBBD2FB1C40CD9105
215,492987,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
216,492990,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
217,493041,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
218,493071,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xC5D2FB1C32CD9105
219,493087,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
220,493196,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
221,493204,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
222,493216,129029,GNSS Position Data,Garmin,3,255,3,0,43,0xFFDF40C637BC2280C8EDBDF08FBF0620B01D8B61F84B01C0673B140000000010FC01AC26AC264A12000000
223,493227,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
224,493233,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
225,493239,129540,GNSS Sats in View,Garmin,3,255,6,0,135,0xFFFF0B10222493CE3408FFFFFF7FF11D68129638C409FFFFFF7FF2157332B93E0807FFFFFF7FF114D115B92F1405FFFFFF7FF1160B02A076DC05FFFFFF7FF01BB91188BD7805FFFFFF7FF005740573149CFFFFFFFF7FF0125C10DB629CFFFFFFFF7FF0195D01725F9CFFFFFFFF7FF01AD0335AA69CFFFFFFFF7FF01F970BDA8F9CFFFFFFFF7FF0
226,493245,129539,GNSS DOPs,Garmin,3,255,6,1,8,0xFFDAAC26AC260000
227,493249,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFC9CD49000FFFF
228,493253,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xCFD2FB1C23CD9105
229,493257,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
230,493271,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xD9D2FB1C15CD9105
231,493289,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
232,493295,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
233,493341,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
234,493371,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xE3D2FB1C06CD9105
235,493389,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
236,493480,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
237,493484,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFC9CD49000FFFF
238,493488,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
239,493492,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xEDD2FB1CF7CC9105
240,493496,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
241,493500,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
242,493541,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
243,493579,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xF8D2FB1CE9CC9105
244,493603,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
245,493609,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
246,493641,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
247,493671,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFC9CD49000FFFF
248,493675,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0x02D3FB1CDACC9105
249,493691,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
250,493786,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
251,493789,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
252,493793,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0x0CD3FB1CCCCC9105
253,493797,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
254,493801,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
255,493841,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
256,493871,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0x16D3FB1CBDCC9105
257,493893,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
258,493897,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
259,493921,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFC9CD49000FFFF
260,493941,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
261,493971,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0x20D3FB1CAFCC9105
262,493994,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
263,494083,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
264,494087,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
265,494091,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0x2AD3FB1CA0CC9105
266,494095,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
267,494099,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
268,494141,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
269,494179,129029,GNSS Position Data,Garmin,3,255,3,0,43,0xFFDF40D65EBC228088C9690890BF0630BB4AB23FF84B01C0863B140000000010FC01AC26AC264A12000000
270,494195,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF4F7AFF7FFF7FFD
271,494200,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
272,494205,129540,GNSS Sats in View,Garmin,3,255,6,0,135,0xFFFF0B10222493CE9808FFFFFF7FF11D68129638C409FFFFFF7FF2157332B93E0807FFFFFF7FF114D115B92F1405FFFFFF7FF1160B02A0764006FFFFFF7FF01BB91188BD7805FFFFFF7FF005740573149CFFFFFFFF7FF0125C10DB629CFFFFFFFF7FF0195D01725F9CFFFFFFFF7FF01AD0335AA69CFFFFFFFF7FF01F970BDA8F9CFFFFFFFF7FF0
